id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
69036f769671e6e1d1429c600d146862,lodz,tenement,52.01,4.0,,4.0,1937.0,51.7524945,19.457801,3.23,25.0,0.37,0.556,0.346,0.509,0.117,0.451,0.137,condominium,brick,,no,no,no,no,yes,399000
037604cffeb4e9e70857f443ea6c8c03,wroclaw,tenement,66.0,3.0,2.0,2.0,,51.1115,17.0217,0.57,43.0,0.248,0.634,0.205,0.408,0.157,0.29,0.14,condominium,brick,,no,yes,no,no,no,6750
b30848a5b43a2500ae644524e01b455f,warszawa,tenement,53.09,2.0,4.0,5.0,1958.0,52.2346385,20.9905016,0.95,90.0,0.197,0.28,0.326,0.298,0.081,0.848,0.079,condominium,brick,low,no,yes,yes,no,yes,900000
2bd0481cf7b2b7404f9a94ec138c580f,szczecin,blockOfFlats,115.0,5.0,3.0,3.0,,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,brick,premium,yes,yes,no,no,no,640000
802d10385e3e7cdbf59d17b1061ac4c5,rzeszow,,72.7,4.0,1.0,1.0,2019.0,50.0118173,22.0294024,3.33,0.0,0.758,2.366,1.673,0.726,1.242,2.492,0.61,condominium,brick,,yes,yes,no,no,no,835000
d60440f51957339c9507eb990704989f,warszawa,blockOfFlats,49.0,2.0,,10.0,1971.0,52.23145,21.06932,4.48,19.0,0.254,0.665,0.235,0.076,0.225,0.269,0.289,condominium,concreteSlab,,no,no,yes,no,yes,685900
0a365692e4d109a28f2b5ff4de3953ee,krakow,blockOfFlats,50.9,2.0,6.0,10.0,,50.0834,20.0066,5.78,23.0,0.011,1.412,0.205,0.177,0.327,1.08,0.247,cooperative,concreteSlab,,no,yes,yes,no,no,770000
edfe2522b90b18d53b1e147d64658614,szczecin,tenement,105.0,4.0,2.0,4.0,1940.0,53.4364475,14.5720137,1.63,13.0,0.187,1.122,0.136,0.449,0.154,1.046,0.191,condominium,brick,low,no,no,,no,no,560000
bfb7b98895f42f9c9de1417c2318bc39,wroclaw,blockOfFlats,76.0,4.0,2.0,2.0,2019.0,51.09878,16.94119,6.33,8.0,0.725,2.597,0.086,0.042,0.437,1.495,0.393,condominium,,,no,yes,yes,no,yes,839000
a6d65d5b4bfc2b3a917c2d8dcec59606,krakow,tenement,70.59,3.0,3.0,3.0,1937.0,50.071,19.9345,1.77,36.0,0.104,0.341,0.15,0.156,0.155,0.19,0.207,condominium,brick,,no,yes,no,no,no,1329000
